week,hr
6,0.04201056052079809
7,0.038452084799912425
8,0.03557865669325137
9,0.033229836187171784
10,0.03128168199338599
11,0.029639995864215726
12,0.028234000413832176
13,0.027010926977715927
14,0.025931620073789404
15,0.024967086870157647
16,0.024095850774339796
17,0.023301955209257808
18,0.02257347633704575
19,0.021901425560144544
20,0.02127894597943833
21,0.020700728080825306
22,0.020162587560957942
23,0.01966116231547998
24,0.019193696593683886
25,0.01875788871087805
26,0.01835178503628634
27,0.017973707705757958
28,0.017622207027766932
29,0.01729603216151956
30,0.016994115582462558
31,0.016715568292443406
32,0.016459683814791373
33,0.016225949840545168
34,0.01601406703726811
35,0.015823975053429296
36,0.01565588619179223
37,0.015510327616284013
38,0.01538819332160263
39,0.015290807449748181
40,0.015220000893403314
41,0.015178203488233843
42,0.015168554465788008
43,0.015195034213080638
44,0.015262620759518994
45,0.015377474783531901
46,0.015547157305340153
47,0.01578088463343379
48,0.016089825621532737
49,0.016487446990343123
50,0.016989913580090596
51,0.017616552239717403
52,0.018390391054210743
53,0.019338790271130203
54,0.019242214870332335
55,0.019155274501358052
56,0.019077022511401635
57,0.019006602465246623
58,0.018943240083037417
59,0.0188862357945045
60,0.01883495788345053
61,0.018788836192685024
62,0.018747356357332764
63,0.018710054533276108
64,0.01867651258719068
65,0.018646353714998957
66,0.018619238456427444
67,0.018594861074573817
