week,hr
6,0.038253274463892116
7,0.03527096586620887
8,0.032745179438702546
9,0.03059772743167805
10,0.028762117612519122
11,0.02718271513023965
12,0.02581353979794247
13,0.02461694320872302
14,0.023562312935910257
15,0.022624883467282312
16,0.021784689479981592
17,0.02102567017756734
18,0.020334918237326083
19,0.019702059317091358
20,0.019118745120469696
21,0.01857824275481335
22,0.018075104277964656
23,0.017604902143147694
24,0.017164018262315485
25,0.016749476366929937
26,0.016358809127388078
27,0.0159899530483559
28,0.01564116547930039
29,0.015310959181627644
30,0.014998050800163757
31,0.014701320324555768
32,0.014419779222305095
33,0.014152545404008962
34,0.013898823564333243
35,0.013657889747423579
36,0.01342907922801183
37,0.013211776991834043
38,0.013005410251272366
39,0.012809442552547139
40,0.012623369125888937
41,0.012446713205167145
42,0.012279023102629618
43,0.012119869871045427
44,0.01196884542228015
45,0.011825561000261602
46,0.011689645929069124
47,0.011560746574809991
48,0.011438525474066897
49,0.011322660592830287
50,0.01121284468861535
51,0.011108784755418908
52,0.011010201536707136
53,0.010916829096061762
54,0.01082841443871606
55,0.010744717180190159
56,0.010665509260763257
57,0.010590574706741343
58,0.010519709441516662
59,0.010452721151377983
60,0.010389429213017944
61,0.01032966469179007
62,0.010273270422090431
63,0.01022010118387343
64,0.010170023992369936
65,0.01012291852167742
66,0.010078677687176095
67,0.01003720841685568
68,0.009998432647806315
69,0.009962288591566138
70,0.009928732321003374
71,0.009897739742278496
72,0.009869309028589362
73,0.009843463608342078
74,0.00982025581971934
75,0.009799771367071946
76,0.009782134743046086
77,0.009767515814993178
78,0.009756137816370596
79,0.009748287035241315
80,0.00974432455476024
81,0.009744700477386535
82,0.00974997115890743
83,0.009760820094594629
84,0.009778083243661532
85,0.00980277975721834
86,0.009836149299331421
87,0.009879697434610564
88,0.009935250918689508
89,0.010005025198384292
90,0.010091707047872087
91,0.01019855609842104
92,0.010329530157422965
93,0.010489440805582846
94,0.010684148040954796
95,0.010920806072065975
96,0.01120817733484482
97,0.011557039359001603
98,0.011980720758638175
99,0.01249582085197403
100,0.013123196340083234
101,0.01388934505062927
102,0.01482839308116516
103,0.015985019663223687
104,0.017418875727551127
105,0.019211456047192533
106,0.01916125362339001
107,0.019113479604532888
108,0.019067880568286937
109,0.019024235689233473
110,0.01898235234813019
111,0.01894206234366668
112,0.018903218623542696
113,0.01886569246308654
114,0.018829371029505045
115,0.01879415527840306
116,0.018759958136599128
117,0.018726702931644027
