week,hr
6,0.0452041777866543
7,0.04249210586404763
8,0.040032770184223
9,0.037806061517322034
10,0.035791565624790786
11,0.03396922082031279
12,0.03231979560916609
13,0.030825211831877496
14,0.029468741154740234
15,0.028235102015179824
16,0.02711048151818432
17,0.026082503256242888
18,0.02514015825508087
19,0.024273712646219754
20,0.02347460246129082
21,0.022735323227309027
22,0.022049319828516534
23,0.021410880352760266
24,0.020815036299151962
25,0.020257470521881114
26,0.019734433557172526
27,0.01924266846776689
28,0.018779343991847164
29,0.018341995559834783
30,0.017928473610028944
31,0.01753689856695984
32,0.017165621824909848
33,0.01681319208854145
34,0.01647832645203607
35,0.01615988563966522
36,0.01585685287863755
37,0.015568315925466498
38,0.01529345181731997
39,0.01503151396812478
40,0.014781821274539888
41,0.01454374893870599
42,0.014316720752670322
43,0.01410020262354739
44,0.01389369714892738
45,0.013696739078996906
46,0.013508891525553303
47,0.013329742798866933
48,0.013158903771470637
49,0.012996005683726738
50,0.012840698319719396
51,0.012692648493910236
52,0.012551538799325085
53,0.01241706657703726
54,0.012288943074592969
55,0.012166892767982442
56,0.012050652827981682
57,0.011939972717349576
58,0.011834613910630917
59,0.011734349733356447
60,0.011638965322411604
61,0.011548257714444404
62,0.011462036074585282
63,0.01138012208366727
64,0.011302350508794877
65,0.011228569989788027
66,0.011158644083040431
67,0.011092452615061131
68,0.011029893410875652
69,0.0109708844781124
70,0.010915366746687152
71,0.010863307487388492
72,0.010814704561444684
73,0.010769591688685142
74,0.010728044965936068
75,0.010690190922042606
76,0.01065621646426704
77,0.01062638115653609
78,0.010601032378045636
79,0.010580624047659411
80,0.010565739774193486
81,0.010557121517050789
82,0.01055570513219179
83,0.01056266455784801
84,0.010579466894491959
85,0.010607941299191608
86,0.0106503655093169
87,0.010709575025914225
88,0.010789101654618343
89,0.010893350412991864
90,0.011027827047186953
91,0.011199432968867723
92,0.011416850933898343
93,0.01169105414474419
94,0.012035985033694163
95,0.012469469849019163
96,0.01301446451912807
97,0.013700771124652787
98,0.01456743069626801
99,0.015666100180676802
100,0.017065881666895547
101,0.018860329672119935
102,0.021177789374945525
103,0.024196952789130623
104,0.02817083893369833
105,0.03346491060320292
106,0.03341251145716192
107,0.03336739401235489
108,0.03332855026475131
109,0.03329511073666341
110,0.03326632570174452
111,0.033241548886473626
112,0.03322022333932877
