week,hr
6,0.042313733262458506
7,0.0388831525048203
8,0.036069284811362255
9,0.03373363394013985
10,0.031768776205152637
11,0.03009247409968707
12,0.028642312431209814
13,0.027371161449020593
14,0.026243510111487074
15,0.025232589902213286
16,0.024318164699440654
17,0.02348485711275082
18,0.02272089451901468
19,0.022017177022645905
20,0.02136658895635105
21,0.020763492829230235
22,0.02020335901725839
23,0.019682495985084387
24,0.019197854773679263
25,0.018746888331178685
26,0.018327451438654406
27,0.017937730867310958
28,0.01757619831042889
29,0.0172415808102497
30,0.01693284504042842
31,0.01664919305834935
32,0.016390068124501153
33,0.01615516998952736
34,0.015944479747924487
35,0.015758295015211223
36,0.015597276864168931
37,0.015462510720968036
38,0.01535558435196602
39,0.015278687269602933
40,0.015234737495883334
41,0.015227543857626596
42,0.015262015173123358
43,0.015344432329643758
44,0.015482806146637329
45,0.015687354366654502
46,0.015971147253018056
47,0.01635099670556063
48,0.01684870478399495
49,0.017492855305682346
50,0.0183214481834154
51,0.019385884967689067
52,0.020757223314402107
53,0.022536562583656168
54,0.02228881351018572
55,0.022068560535063727
56,0.02187204698182425
57,0.021696056260269502
58,0.021537832179513043
59,0.021395011559659165
60,0.021265566993349007
61,0.021147758096131692
62,0.02104008992083793
63,0.02094127745307329
64,0.020850215286744977
