week,hr
6,0.03596848247803538
7,0.03287057214018205
8,0.03039423309185585
9,0.02838180523931085
10,0.02671563033589916
11,0.025309059909214074
12,0.024098875139336496
13,0.02303924486787478
14,0.0220970771539499
15,0.02124852690720183
16,0.02047641547730918
17,0.01976834726960809
18,0.01911534807741454
19,0.01851088832212726
20,0.01795018737332484
21,0.017429721603366827
22,0.016946879299437254
23,0.016499720996108237
24,0.0160868152491175
25,0.015707128275029753
26,0.015359951991929436
27,0.015044859407630236
28,0.014761679466075244
29,0.014510485717335127
30,0.014291594771407278
31,0.01410557161414515
32,0.013953239639562416
33,0.013835693785489947
34,0.013754315522688854
35,0.013710788696338887
36,0.013707115395294527
37,0.013745631160461153
38,0.013829018962791843
39,0.013960321500753572
40,0.014142951498601503
41,0.0143806998397409
42,0.014677741553998935
43,0.015038639908493589
44,0.015468349150067211
45,0.01597221683699312
46,0.01655598719447297
47,0.01722580752130693
48,0.017988240310085796
49,0.01885028432541005
50,0.019819408315403266
51,0.020903601285468906
52,0.022111443484995972
53,0.023452202859620765
54,0.023247490757452062
55,0.02307304173612475
56,0.022924439573240477
57,0.022797896556147917
58,0.02269016846229614
59,0.022598479793963695
60,0.022520458392806534
