week,hr
6,0.03582918220427119
7,0.03297625044589181
8,0.030707232825050643
9,0.028904173874236192
10,0.027472809871353036
11,0.026339153400236726
12,0.024911067052863833
13,0.023700787458374385
14,0.02265773707932447
15,0.021744542368927717
16,0.020933670468453836
17,0.020204861489031643
18,0.019543197269362322
19,0.01893766472724812
20,0.018380096061941454
21,0.017864392150921303
22,0.017385956637405033
23,0.016941285598573805
24,0.016527671440895148
25,0.016142990280709264
26,0.01578555011786733
27,0.015453983145014723
28,0.0151471700213555
29,0.01486418725407988
30,0.014604271267768818
31,0.01436679452780043
32,0.014151250388651204
33,0.013957244289605278
34,0.013784489613515815
35,0.013632807028911186
36,0.013502126503421025
37,0.013392491445013017
38,0.01330406462455598
39,0.013237135678986598
40,0.013192130103625061
41,0.013169619725719258
42,0.013170334716923715
43,0.01319517725577843
44,0.013245236996348374
45,0.013321808538726124
46,0.013426411132708082
47,0.013560810878214079
48,0.01372704571438162
49,0.013927453511760822
50,0.014164703594730165
51,0.0144418320173367
52,0.014762280884072207
53,0.015129941929815477
54,0.015024347382254792
55,0.014927937948084296
56,0.014839932658067673
57,0.014759613914452574
58,0.01468632286163693
59,0.014619455006620374
60,0.014558456091939578
