week,hr
6,0.03744274919105058
7,0.03441368476166762
8,0.03187090831878299
9,0.02972926355134545
10,0.027916185803568826
11,0.026370980861093966
12,0.025043602108497078
13,0.023893233449387766
14,0.02288686707184023
15,0.021997981323165352
16,0.021205368570365493
17,0.02049212864710444
18,0.019844823807012028
19,0.019252780950757414
20,0.01870752264137452
21,0.018202307614442872
22,0.01773176254263273
23,0.017291588748427268
24,0.016878329796723827
25,0.016489188119345483
26,0.016121880863465544
27,0.01577452694682564
28,0.015445558828983814
29,0.01513365378244448
30,0.01483768049641449
31,0.014556657699731652
32,0.014289722178787276
33,0.014036104119148572
34,0.013795108140809514
35,0.013566098747656312
36,0.013348489189458197
37,0.013141732954014003
38,0.012945317279843788
39,0.012758758215586608
40,0.01258159685874811
41,0.012413396489789627
42,0.01225374038266514
43,0.012102230123690128
44,0.011958484310148466
45,0.011822137530748577
46,0.011692839553850948
47,0.011570254667819644
48,0.011454061132092387
49,0.0113439507085555
50,0.011239628251284712
51,0.011140811339251488
52,0.011047229941652132
53,0.010958626109450179
54,0.010874753689818838
55,0.010795378062652896
56,0.010720275900373543
57,0.01064923495402271
58,0.010582053870262186
59,0.010518542045464931
60,0.01045851952470962
61,0.010401816955256712
62,0.010348275606087025
63,0.010297747467417394
64,0.010250095446874875
65,0.010205193682328407
66,0.010162927995375562
67,0.01012319651431749
68,0.010085910501309567
69,0.010050995425463215
70,0.010018392332253353
71,0.009988059569961606
72,0.009959974946420896
73,0.00993413840445537
74,0.009910575322643386
75,0.009889340569973412
76,0.00987052346932469
77,0.009854253856309997
78,0.009840709457822396
79,0.009830124859719264
80,0.009822802386677874
81,0.009819125280717824
82,0.009819573639653384
83,0.009824743664313887
84,0.009835370865223346
85,0.009852357996888628
86,0.00987680862193028
87,0.009910067358517785
88,0.009953768032738513
89,0.010009891141528513
90,0.010080832229582093
91,0.010169482992574457
92,0.010279327136783683
93,0.010414553251990047
94,0.010580187196957315
95,0.010782246774161541
96,0.011027921823962152
97,0.011325783373314718
98,0.011686026253242667
99,0.012120750835613071
100,0.012644291483907664
101,0.013273602281705058
102,0.014028714970717334
103,0.0149332902209379
104,0.016015291857502806
105,0.017307825112111222
106,0.017296803289366676
107,0.017286834468354828
108,0.01727781824009613
109,0.017269663735020164
110,0.01726228872306684
111,0.017255618797510714
112,0.017249586634933416
113,0.017244131324415213
114,0.017239197759614553
115,0.017234736087956948
116,0.01723070121166407
