week,hr
6,0.041247918324507984
7,0.03818509434267209
8,0.0355695809779337
9,0.03332700803756819
10,0.031394072752321894
11,0.02971766076937329
12,0.028253692023602398
13,0.026965888966076892
14,0.02582458508687905
15,0.024805636818830027
16,0.023889466342746215
17,0.023060241156593754
18,0.022305184066130992
19,0.02161400115973655
20,0.020978412992470562
21,0.020391774047279567
22,0.019848766550751594
23,0.019345156270602907
24,0.01887759964210015
25,0.01844349325462198
26,0.018040858272419878
27,0.01766825372038097
28,0.01732471372537437
29,0.017009704773831357
30,0.01672309984255685
31,0.016465166902144078
32,0.016236569802307504
33,0.01603837994954905
34,0.015872097507517023
35,0.01573968112466612
36,0.015643585470802697
37,0.01558680621175689
38,0.01557293256504321
39,0.015606208390474116
40,0.01569160405636137
41,0.015834903321654267
42,0.01604281250146012
43,0.01632310365402206
44,0.016684809994591907
45,0.017138500944782222
46,0.017696677162422653
47,0.018374343954063357
48,0.01918984671100434
49,0.020166087816723105
50,0.0213322971353513
51,0.022726611345102697
52,0.024399868662717476
53,0.02642139248451603
54,0.026049153091906002
55,0.02572119329969961
56,0.025431608058865164
57,0.0251753039988167
58,0.024947886124337983
59,0.024745561042545813
60,0.02456505381262795
61,0.024403536291901493
62,0.024258565322864026
63,0.024128029408601193
64,0.024010102734444018
